"","title","description","redirect_url","latitude","longitude","salary_max","salary_is_predicted","id","salary_min","adref","created","__CLASS__","contract_type","contract_time","__CLASS__","label","tag","__CLASS__","display_name","display_name","__CLASS__","area"
"11","Disability Assessor","Are you an experienced Healthcare Professional looking for a fresh career challenge and an opportunity to develop your clinical skills? We are looking for qualified Physiotherapists, Occupational Therapists, Paramedics and Nurses with clinical knowledge and experience for an exciting new role when you are ready for a change, right now or in the near future. In this varied role as a Disability Assessor you will: Speak to people with a wide range of conditions and disabilities via telephone consu¡­","https://www.adzuna.co.uk/jobs/land/ad/1855387574?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=39C2A939EE1A3999802224612A916E529EC89D57",51.443901,0.219727,41000,"0","1855387574",0,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg1NTM4NzU3NCIsInMiOiJna0x2VnIwNzZ4R2Y1dFV0ZXhyNmFRIn0.h1mSYGbdeRl-YltekEM9vbm0FCDxbVVSA9IzJClSfn4","2020-12-01T20:13:26Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Healthcare & Nursing Jobs","healthcare-nursing-jobs","Adzuna::API::Response::Company","SJB Medical","Dartford, Kent","Adzuna::API::Response::Location","c(""UK"", ""South East England"", ""Kent"", ""Dartford"")"
"12","Registered Nurse - The Polegate Nursing Centre","Registered Nurse- Days The Polegate- Blackpath, Polegate, East Sussex, BN26 5AP We are looking for a passionate and caring individual with a proven ability to lead, motivate and mentor a team. Our main aim is to help our residents maintain their dignity and independence in our homely surrounding. About the role As a Nurse at HC One, you¡¯ll value kindness above all. Because it drives every aspect of our Dementia, Nursing, Residential and Specialist care homes. Every single person who works here ¡­","https://www.adzuna.co.uk/jobs/land/ad/1835966724?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=A863D6D6D3682682E296A049151609ED18D072F0",50.830799,0.25319,16,"0","1835966724",16,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgzNTk2NjcyNCIsInMiOiJna0x2VnIwNzZ4R2Y1dFV0ZXhyNmFRIn0.ZoGxOELiFxiLTpHJwgaxIdc7rH7X7YMIPxX_XBKOip4","2020-11-21T00:26:48Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Healthcare & Nursing Jobs","healthcare-nursing-jobs","Adzuna::API::Response::Company","HC One Limited","Polegate, East Sussex","Adzuna::API::Response::Location","c(""UK"", ""South East England"", ""East Sussex"", ""Polegate"")"
"13","Software Developer","The ideal candidate for the role will have several years¡¯ experience developing web applications in a cloud environment such as AWS, GCP, or Azure. We are looking for the top talent in the industry, highly skilled in defining application architectures, building APIs, and automating every aspect of a modern software system. Responsibilities : Create well-designed, documented, and tested software features that meet customer requirements. Identify and address product bugs, deficiencies, and perfor¡­","https://www.adzuna.co.uk/jobs/land/ad/1831377850?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=2730E74753DCE1E4113FCFFA07C337A121259729",51.377998,0.0192,58033.34,"1","1831377850",58033.34,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODMxMzc3ODUwIn0.Ork7ljdZud4uyapPzYeoelPYrJ_KQs9i1uymDtfHjuw","2020-11-18T22:15:53Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","IT Jobs","it-jobs","Adzuna::API::Response::Company","Rackspace","Hayes, Bromley","Adzuna::API::Response::Location","c(""UK"", ""London"", ""South East London"", ""Bromley"", ""Hayes"")"
"14","Residential Home Deputy Manager","Manchester Deputy Home Manager (Children's Residential) Salary: ¡ê27,104.00 - ¡ê29,903.00 based on a full-time Deputy Home Manager, working 169 hours per month (39 per week) and completing 8 ¡®sleep-ins¡¯ per month (paid at ¡ê7.83 per hour for 8 hours - each 'sleep-in' is paid at ¡ê62.64) The Keys Group are the second largest provider of residential child care in the UK, with 87% of our services rated by OFSTED as 'Good' or 'Outstanding'. Our EPIC values (excellence. passion. integrity. caring) under¡­","https://www.adzuna.co.uk/jobs/land/ad/1801202309?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=2C4CA21EC143804D072D2B514C91B337DF40BA2D",53.480701,-2.23438,29903,"0","1801202309",27104,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgwMTIwMjMwOSIsInMiOiJna0x2VnIwNzZ4R2Y1dFV0ZXhyNmFRIn0.8Wes1lxWk2RluJDI4RNcbct8FkKh2CLooNoQ6AIclBE","2020-11-03T22:05:03Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Social work Jobs","social-work-jobs","Adzuna::API::Response::Company","Keys Group Ltd","Manchester, Greater Manchester","Adzuna::API::Response::Location","c(""UK"", ""North West England"", ""Greater Manchester"", ""Manchester"")"
"15","DevOps Engineer x 2 - London Manchester Bristol","A new year - a new challenge? We are a multi-award winning digital agency with 3000 talented people in 45 beautiful offices across 16 countries. We work with some of the world¡¯s best known brands, from airlines and travel companies, to the leading retailers, luxury brands and automotive and B2B companies. We also have a lasting legacy with the UK Government built over 25 years of transforming the user experience to improve lives. So, whether you are renewing a Blue Badge, booking your next holi¡­","https://www.adzuna.co.uk/jobs/land/ad/1857408202?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=F0409B1DEEF044E23A9CAAC06C8A037AC522E113",51.586237,-0.123313,47022.14,"1","1857408202",47022.14,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODU3NDA4MjAyIn0.4o-CA31iikI1xpLFzLOQ485Al1-_fEBrUqcK4wahGUc","2020-12-02T16:18:21Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","IT Jobs","it-jobs","Adzuna::API::Response::Company","Valtech Limited","North London, London","Adzuna::API::Response::Location","c(""UK"", ""London"", ""North London"")"
"16","Staff Nurse","Staff Nurse Solihull - Brand New Nursing Home ¡ê34000  Excellent Staff Benefits I currently have an exciting opportunity for a Staff Nurse (RGN/RMN) to work for a highly regarded, employee focused care provider within their beautiful, new care service in Solihull. The home provides specialist elderly care and general nursing care. As the Staff Nurse you will be provide high quality, person-centred care within the homes 20 bedded nursing unit. As the Staff Nurse you will be entitled to a range of¡­","https://www.adzuna.co.uk/jobs/land/ad/1873405956?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=945F704080D6C3A50441B07FEA265A20C346ED4F",52.4147,-1.7743,49920,"0","1873405956",32640,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODczNDA1OTU2In0.j6HvQMbO3-rmyQtAnw5g6M-8nn7N9ejxVmhdjOu6XHY","2020-12-10T14:20:17Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Healthcare & Nursing Jobs","healthcare-nursing-jobs","Adzuna::API::Response::Company","WR Health","Solihull, West Midlands","Adzuna::API::Response::Location","c(""UK"", ""West Midlands"", ""Solihull"")"
"17","Band 5 Nurse","Are you a registered general nurse with a minimum of six months post registration experience? Would you like the luxury of working around other commitments whilst earning an impressive hourly rate? What can you expect? Working for Poppy offers you the flexibility to work around your lifestyle, while our smartphone app will allow you to book shifts at ease. As well as competitive pay, with bonuses and incentives you¡¯ll benefit from being a part of a team that you can be proud of, and that is wel¡­","https://www.adzuna.co.uk/jobs/land/ad/1812123427?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=762D214080E6591EBC75C8A06A6452A76693216D",51.790901,1.15623,96000,"0","1812123427",48000,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODEyMTIzNDI3In0.1gHVZCHIVTqzZrN4Gg8YDLetRLTkDKmneB5sTr42gC4","2020-11-09T18:05:00Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Healthcare & Nursing Jobs","healthcare-nursing-jobs","Adzuna::API::Response::Company","Poppy Nursing Services","Clacton-On-Sea, Essex","Adzuna::API::Response::Location","c(""UK"", ""Eastern England"", ""Essex"", ""Clacton-On-Sea"")"
"18","Senior Backend Software Engineer - Be part of something special.","D o you want to be part of something special? Do you want to be part of a greenfield project that is taking off? Do you want use Using Bleeding edge Technologies? FinTech is recognised as the fastest growing area of technology in the UK. As a hub of global finance there are great opportunities for innovative businesses in this space to grow more quickly than in any other industry. Do you want to be part of a greenfield project that is taking off, working with Quant developers to build a product¡­","https://www.adzuna.co.uk/jobs/land/ad/1873405944?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=98DE8ACD95BC50E62B71A9E1B58B352B88D7272D",NA,NA,60000,"0","1873405944",60000,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODczNDA1OTQ0In0.0WKacGVOxxd1J6rT4bsn0oFC6Ss-dDqNE-b0w4-Lz9w","2020-12-10T14:20:17Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","IT Jobs","it-jobs","Adzuna::API::Response::Company","Evolution Recruitment Solutions Ltd","UK","Adzuna::API::Response::Location","UK"
"19","Community Care Worker","Nursesplus are looking for Community Care Workers to provide person centred care to service users in Folkestone and surrounding areas. You will be providing care in people's homes assisting our service users to live full, interesting lives but still staying within the comfort of their own home. You will assist service users with their general health, personal care, medications, daily activities and leading a more fulfilled life. Minimum requirements to work with Nurseplus as a Community Care Wo¡­","https://www.adzuna.co.uk/jobs/land/ad/1746753367?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=B2158DBBE175C11E2F38E0AC70D63DF6C1CAAA37",51.078701,1.17409,21408,"0","1746753367",18144,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTc0Njc1MzM2NyIsInMiOiJna0x2VnIwNzZ4R2Y1dFV0ZXhyNmFRIn0.q3HVW6cbmiWnlQK82uvkKLnD38B9a5MIagAwbgU6Y5w","2020-10-07T02:35:41Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Healthcare & Nursing Jobs","healthcare-nursing-jobs","Adzuna::API::Response::Company","Nurse Plus","Folkestone, Kent","Adzuna::API::Response::Location","c(""UK"", ""South East England"", ""Kent"", ""Folkestone"")"
"20","Bookkeeper / Cloud Accounting Specialist","Are you a systems whizz with an interest in all things cloud based? Do you have a strong background in bookkeeping and the ability to explain technical financial concepts in layman¡¯s terms? This role could be just up your alley I'm working with a very successful firm of accountants who need to strengthen their busy team, both from a bookkeeping and cloud accounting perspective, hence this role has been newly created. Your duties in this role will include management accounting, VAT and bookkeepi¡­","https://www.adzuna.co.uk/jobs/land/ad/1802826840?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=AEB163134336DDE9A422F5CA09DA8B468F4D0129",51.455299,-2.5919,23000,"0","1802826840",18000,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgwMjgyNjg0MCIsInMiOiJna0x2VnIwNzZ4R2Y1dFV0ZXhyNmFRIn0.1FbucOsKgDaltddVmvfUzO7AsqDDK9kYC1JKbFFj-uI","2020-11-04T17:54:22Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Accounting & Finance Jobs","accounting-finance-jobs","Adzuna::API::Response::Company","Trial Balance Consulting","Bristol, South West England","Adzuna::API::Response::Location","c(""UK"", ""South West England"", ""Bristol"")"
"21","Bike Courier"," Bike Courier   Get a taste of freedom on the road with the UK's largest food delivery network.   Become a self-employed Bike Courier and discover a feast of flexible opportunities at Just Eat.   Whether you're a student trying to make some extra cash, or have a bicycle and are looking to get on the road, this is a great opportunity for you to boost your income (and work on your calf muscles too). You can work weekdays or weekends, daytime or evenings, a full schedule or bits here and there - t¡­","https://www.adzuna.co.uk/jobs/land/ad/1199096377?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=CC48D8EB9B0F8AEDD818142AD18E10F2B2C9104B",57.147499,-2.0954,30236.34,"1","1199096377",30236.34,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxMTk5MDk2Mzc3In0.eaaa4vPEIO3qfnRNdjSrTrwtHe3ZK9lcU4QIVbBm9rk","2019-07-04T10:57:49Z","Adzuna::API::Response::Job","contract","part_time","Adzuna::API::Response::Category","Other/General Jobs","other-general-jobs","Adzuna::API::Response::Company","Just Eat","Aberdeen, Aberdeenshire","Adzuna::API::Response::Location","c(""UK"", ""Scotland"", ""Aberdeenshire"", ""Aberdeen"")"
"22","Domestic Gas Engineer","Gas Engineers and Plumbers Duration: Temporary- Permanent We are looking for experienced Gas Engineers and Plumbers to work in West Yorkshire This role will see you working with a team carrying out heating, bathroom and kitchen installations to domestic properties You will be liaising with the work schedulers on a daily basis and will have regular communication with the Line Manager For this role as a Gas Engineer you must have the following: <U+2022> Gas Safe (ACS qualified) <U+2022> NVQ Lev 3 Plumbing Qual¡­","https://www.adzuna.co.uk/jobs/land/ad/1846395047?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=73FBF5E8489A056A3CB17228B2122F04735CD754",53.7057,-1.93651,29110.78,"1","1846395047",29110.78,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tMdlZyMDc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODQ2Mzk1MDQ3In0.vxmAIidDD2Vypf4tVeuvg7tmlnTgv3jLGJYcKOQyozc","2020-11-26T20:13:09Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Trade & Construction Jobs","trade-construction-jobs","Adzuna::API::Response::Company","Dale Stephenson Ltd","Sowerby, Sowerby Bridge","Adzuna::API::Response::Location","c(""UK"", ""Yorkshire And The Humber"", ""West Yorkshire"", ""Sowerby Bridge"", ""Sowerby"")"
"23","Crisis Support Worker - EXETER","On behalf of an innovative and reputable mental health provider, I am seeking CRISIS RECOVERY WORKER to work in their crisis non-referral service in EXETER I am currently looking to fill a 24 hours position. These hours are to be worked on a rolling rota, to include weekends and bank holidays, as the service offers specialised, focused support 365 days a year. Working closely with an established team, you will provide crisis de-escalation and reduce immediate distress for the people using this ¡­","https://www.adzuna.co.uk/jobs/land/ad/1819454402?se=gkLvVr076xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=8619602EE23DDC02EC03D4EC2008F9D47AA57155",50.721802,-3.53362,13172,"0","1819454402",0,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgxOTQ1NDQwMiIsInMiOiJna0x2VnIwNzZ4R2Y1dFV0ZXhyNmFRIn0.MDL6pBOQwH8zJdX-z9E1FImIREJOlVVzFyEtwCpphVI","2020-11-13T02:10:56Z","Adzuna::API::Response::Job",NA,NA,"Adzuna::API::Response::Category","Social work Jobs","social-work-jobs","Adzuna::API::Response::Company","Brook Street UK","Exeter, Devon","Adzuna::API::Response::Location","c(""UK"", ""South West England"", ""Devon"", ""Exeter"")"
