"","title","created","redirect_url","longitude","id","latitude","salary_is_predicted","salary_max","__CLASS__","salary_min","adref","description","contract_time","contract_type","label","tag","__CLASS__","display_name","__CLASS__","__CLASS__","display_name","area"
"11","Bricklayer","2020-11-20T14:09:24Z","https://www.adzuna.co.uk/jobs/land/ad/1835323593?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=A8E0384AFB141FC6846CAB1A2741191A7F0B7401",NA,"1835323593",NA,"1",29473.63,"Adzuna::API::Response::Job",29473.63,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRkVVTWE4QTc2eEdFU1RJTmJYRkE3ZyIsImkiOiIxODM1MzIzNTkzIn0.h7qZP2laZPgmOyue-0LX0QFU-m7SMEF9eKxcDOGLMaI","Bricklayer Gangs Barratt David Wilson ¨C Yorkshire East Division requires experienced Bricklaying gangs (labour only) for our sites across Hull, Beverley, Doncaster and York . This work will involve working as part of a wider team building new houses under the direction of our Site Managers. We¡¯ve been nationally recognised as a 5 star house builder eleven years in a row for supplying high-quality homes for all generations. That¡¯s more than any other major house builder. It¡¯s because we combine ¡­",NA,NA,"Trade & Construction Jobs","trade-construction-jobs","Adzuna::API::Response::Category","Barratt Homes Yorkshire East","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Yorkshire And The Humber, UK","c(""UK"", ""Yorkshire And The Humber"")"
"12","Infrastructure Analyst","2020-12-04T08:15:09Z","https://www.adzuna.co.uk/jobs/land/ad/1861124502?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=ED44832B6E87C3F88E1A598EC0A3C221CA1E3128",0.259786,"1861124502",52.399399,"1",34619.56,"Adzuna::API::Response::Job",34619.56,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg2MTEyNDUwMiIsInMiOiJGRVVNYThBNzZ4R0VTVElOYlhGQTdnIn0.l1XubMDikInpq6BOkV0hJZ6UMXRwO7TnFUmdXs67Jlc","We are currently looking for an Infrastructure Analyst to join our fast-paced Infrastructure team based in Ely, Cambridgeshire. G¡¯s is an incredibly exciting place to work, at the forefront of modern food production means its fast-faced, stimulating and rewarding. We work with the biggest food retail brands in the UK and Europe and want people who will do what¡¯s right for G¡¯s and our customers. We are looking for an Infrastructure Analyst who has the technical understanding but also the ability¡­",NA,NA,"IT Jobs","it-jobs","Adzuna::API::Response::Category","G's Group","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Ely, Cambridgeshire","c(""UK"", ""Eastern England"", ""Cambridgeshire"", ""Ely"")"
"13","Registered Nurse","2020-12-09T18:18:08Z","https://www.adzuna.co.uk/jobs/land/ad/1871673719?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=FC7932C78A76B38F531688D11C1A89023FA05D0F",-0.754624,"1871673719",51.293999,"0",18,"Adzuna::API::Response::Job",18,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg3MTY3MzcxOSIsInMiOiJGRVVNYThBNzZ4R0VTVElOYlhGQTdnIn0.HzEYMe3_a5gXh6MfgrffrSMuCDGm7eI1WOgThFjeAH8","Do you want to join a company that cares? When joining Avery you can expect:  support with revalidation through in-house workshops  highly competitive rates of pay  instant access to your wages. No need to wait for payday exclusive employee discounts incl. retail and leisure savings  excellent career development incl. formal clinical training  flexible working  free parking  Full time- Night shifts - ¡ê18.45 per hour Lavender Lodge , located in Farnborough , are currently recruiting for a Regist¡­",NA,NA,"Healthcare & Nursing Jobs","healthcare-nursing-jobs","Adzuna::API::Response::Category","Avery Healthcare Ltd","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Farnborough, Hampshire","c(""UK"", ""South East England"", ""Hampshire"", ""Farnborough"")"
"14","Care Assistant","2020-11-03T22:05:10Z","https://www.adzuna.co.uk/jobs/land/ad/1801202369?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=4B3F8887B778577F8C232DA3EDC229ACE9ADBC96",-2.613864,"1801202369",53.864322,"0",23040,"Adzuna::API::Response::Job",17280,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgwMTIwMjM2OSIsInMiOiJGRVVNYThBNzZ4R0VTVElOYlhGQTdnIn0.aYTSbvRvyXioegkFg0_42vpk01A1re5sUejMpBiah-8","Do you have what it takes to make a difference in people¡¯s lives? Are you looking for an exciting but flexible career in the healthcare industry? ORB Recruitment is the No.1 recruitment agency in South Yorkshire. We are currently recruiting Care Assistants in the Lancashire area for ad-hoc shifts. If you are a qualified Care Assistant looking for a new positive and rewarding role with in the Care Sector then join our team. Essential Criteria ¡¤ - Minimum of 6 months paid experience in the UK wor¡­",NA,NA,"Social work Jobs","social-work-jobs","Adzuna::API::Response::Category","Orb Recruitment","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Lancashire, North West England","c(""UK"", ""North West England"", ""Lancashire"")"
"15","DevOps Engineer AWS Linux - WFH","2020-11-30T14:14:38Z","https://www.adzuna.co.uk/jobs/land/ad/1852441026?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=BB5424578444DF4C0A40FBE6A01AB1BF7883586E",-1.58188,"1852441026",51.9492,"0",55000,"Adzuna::API::Response::Job",45000,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRkVVTWE4QTc2eEdFU1RJTmJYRkE3ZyIsImkiOiIxODUyNDQxMDI2In0.roCVpuunXa-tco1lgCymAX5A5Nkjcp0razSCMwHlawE","DevOps Engineer AWS Linux - Manchester OR Homeworking, WFH. DevOps, AWS, Cloud, Linux, Terraform, Jenkins, Docker, Kubernetes, Git. This young highly innovative organisation for the Security and Defence Markets are seeking a number of experienced DevOps Engineers to maintain a mix of cloud environments and internal tooling, deploying services on AWS, documenting and supporting them. The DevOps role will involve working closely with the development team and a multi-national consultancy they are ¡­",NA,NA,"IT Jobs","it-jobs","Adzuna::API::Response::Category","Saxon Recruitment Solutions Ltd","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Salford, Chipping Norton","c(""UK"", ""South East England"", ""Oxfordshire"", ""Chipping Norton"", ""Salford"")"
"16","IT Security Analyst - Central Manchester","2020-12-03T02:13:01Z","https://www.adzuna.co.uk/jobs/land/ad/1858501371?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=4EE816AADA26830A8076655BE52814B3DF55469F",-2.23438,"1858501371",53.480701,"0",45000,"Adzuna::API::Response::Job",40000,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg1ODUwMTM3MSIsInMiOiJGRVVNYThBNzZ4R0VTVElOYlhGQTdnIn0.1L1qUlDuTBDw7knCd4kZM80Zh9FZlv2nVMGGIP-6bzc","We are looking for an experienced IT Security Analyst to join a reputable & growing business within the legal industry. This is a technical & governance focused position with a lot of opportunities and potential to grow within the team. This role will be responsible for providing governance & oversight of the IT security risk & control environment across the company. You will need to be able to translate IT risk requirements into technical control requirements & specifications, as well as devel¡­",NA,NA,"IT Jobs","it-jobs","Adzuna::API::Response::Category","B C T Resourcing","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Manchester, Greater Manchester","c(""UK"", ""North West England"", ""Greater Manchester"", ""Manchester"")"
"17","Adult Support Worker (Drivers)","2020-12-08T13:21:12Z","https://www.adzuna.co.uk/jobs/details/1868909614?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=942E72EFD18F12E2AB6A1922099A62A422DF8CDB",-3.53362,"1868909614",50.721802,"0",21504,"Adzuna::API::Response::Job",21504,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRkVVTWE4QTc2eEdFU1RJTmJYRkE3ZyIsImkiOiIxODY4OTA5NjE0In0.o2BZsLxLW0GQZ59R43PPHUI0_KPpid771lMZC2cJcC8","Do you enjoy the company of Older Adults and the Elderly? Do you want to get paid for doing a truly meaningful job? Why not consider a change in role or company and come join our Care family? We are recruiting for Adult Support Workers to cover client calls in Exeter. Horizon Care South West Ltd is a family business who have been established for nearly 15 years. We are a Home Care provider delivering a service commissioned by Devon County Council and NHS Devon CCG. Help us look after Exeter¡¯s m¡­","full_time","permanent","Healthcare & Nursing Jobs","healthcare-nursing-jobs","Adzuna::API::Response::Category","Horizon Care South West Ltd","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Exeter, Devon","c(""UK"", ""South West England"", ""Devon"", ""Exeter"")"
"18","IT Support Technician","2020-12-10T13:14:22Z","https://www.adzuna.co.uk/jobs/land/ad/1873317536?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=1951936CE3C3A8AAF9B80D1DA4929B9A21363898",NA,"1873317536",NA,"0",21000,"Adzuna::API::Response::Job",18000,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg3MzMxNzUzNiIsInMiOiJGRVVNYThBNzZ4R0VTVElOYlhGQTdnIn0.Jee0hPKLGgm_01UqHyINxthSI9xVy57h9TEDRT_Axe4","IT Support Technician Role: IT Support Technician Location: Coventry, West Midlands Salary: ¡ê18,000 - ¡ê21,000 DOE Interviewing before Christmas My client, an IT Service provider to multiple sectors across West Midlands, is looking for an IT Support Technician to join their tech team on a permanent basis. You will be working as part of the service desk team providing 1st line support. The company are based in Coventry and the position will be working from home and will be naturally integrated ba¡­",NA,NA,"IT Jobs","it-jobs","Adzuna::API::Response::Category","Itecco","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Coventry, West Midlands","c(""UK"", ""West Midlands"", ""Coventry"")"
"19","JavaScript Developer","2020-12-10T13:14:22Z","https://www.adzuna.co.uk/jobs/land/ad/1873317593?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=0586E91AEF6434349597C7D5E2CCF152EADB9780",NA,"1873317593",NA,"0",96000,"Adzuna::API::Response::Job",84000,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg3MzMxNzU5MyIsInMiOiJGRVVNYThBNzZ4R0VTVElOYlhGQTdnIn0.ovURgysv8sA_JDs1Q2KBZ579SA22SvPSU6Ok6j1NaSU","Javascript Developer My client is looking for a Contract software developer. You'll join a small team of software engineers and working on the back-end software, Node.js and Javascript. They have an engineered a rugged IoT outdoor sensor used to collect detailed information on temperature, humidity, noise, dust etc, and this role will be working on the back end software and UI which customers will be able to view the detailed information. To be considered you'll be experienced with Javascript/N¡­",NA,NA,"IT Jobs","it-jobs","Adzuna::API::Response::Category","Amazing Prospects Ltd","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Cambridge, Cambridgeshire","c(""UK"", ""Eastern England"", ""Cambridgeshire"", ""Cambridge"")"
"20","IT Support Apprentice - 07694","2020-12-03T02:13:00Z","https://www.adzuna.co.uk/jobs/land/ad/1858501370?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=52ED897DBFB68AEE8BB61BD0EBFD8D1410B24075",-2.06351,"1858501370",52.333801,"0",10000,"Adzuna::API::Response::Job",0,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg1ODUwMTM3MCIsInMiOiJGRVVNYThBNzZ4R0VTVElOYlhGQTdnIn0.x9HBHoanK0HKiaivNJ7eWSe7RaAdTLZEc8d5wcXQROU","Founded in 2002, Invoco provides business support such as advanced call management, call recording, CRM integrations, online dashboards, sales leaderboards and much more. Being able to help everyone from start-ups, call centres and corporate business', makes Invoco a company of desire. Invoco are now looking for an apprentice to start their career and grow within the industry Duties can range from, Providing 1st line support, responding to tickets and troubleshooting technical issues. For more ¡­",NA,NA,"IT Jobs","it-jobs","Adzuna::API::Response::Category","Baltic Training Services","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Bromsgrove, Worcestershire","c(""UK"", ""West Midlands"", ""Worcestershire"", ""Bromsgrove"")"
"21","Healthcare Assistant","2020-12-05T04:18:27Z","https://www.adzuna.co.uk/jobs/land/ad/1862864780?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=5BFB500B37A28F8A392D69E42CA6BA583F9FEA42",-2.88689,"1862864780",53.566502,"0",18758,"Adzuna::API::Response::Job",18758,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRkVVTWE4QTc2eEdFU1RJTmJYRkE3ZyIsImkiOiIxODYyODY0NzgwIn0.lwv4lub1tUpcxZ6A2SySPUHvwTsTItm-zDfIWIKcQ7c","Are you an experienced and enthusiastic Care Assistant looking to make a difference to the lives of people in your local community? Do you want flexibility with the opportunity to work as many hours around YOUR schedule? If so, we are currently recruiting for Care Assistants to support our clients and provide personal and person-centred care in the community. Your responsibilities will include assisting clients with day to day living activities, clinical interventions, moving and handling, prom¡­",NA,NA,"Social work Jobs","social-work-jobs","Adzuna::API::Response::Category","Routes Healthcare Personnel","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Ormskirk, Lancashire","c(""UK"", ""North West England"", ""Lancashire"", ""Ormskirk"")"
"22","Full Stack .Net Developer","2020-11-12T16:03:47Z","https://www.adzuna.co.uk/jobs/land/ad/1818276774?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=D4688422AF8331BEF8B8D5FD7486340E43263176",-1.298703,"1818276774",51.080127,"0",60000,"Adzuna::API::Response::Job",50000,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgxODI3Njc3NCIsInMiOiJGRVVNYThBNzZ4R0VTVElOYlhGQTdnIn0.b8PWtvfRz0yNTSwWVSTAt6A52McLPoxhz4KOOqFW1rw","Full Stack .Net Developer A financial services organisation is currently looking for a .Net developer to join them on a full time permanent basis. Reporting into a Software Development Manager , you will be responsible for the development & maintenance of both internal business application and external portals used by their customers. A significant proportion of the work will be greenfield. Experience required C#, ASP.Net MS SQL HTML, CSS, JavaScript Nice to haves Experience working in Financia¡­",NA,NA,"IT Jobs","it-jobs","Adzuna::API::Response::Category","Sanderson Recruitment","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Hampshire, South East England","c(""UK"", ""South East England"", ""Hampshire"")"
"23","(Contract) Azure Data Engineer","2020-11-26T20:13:05Z","https://www.adzuna.co.uk/jobs/land/ad/1846394907?se=FEUMa8A76xGESTINbXFA7g&utm_medium=api&utm_source=f0c87e31&v=875B6DD86D4698A7A32BD5484CFC52481C7AD6DB",-0.02806,"1846394907",51.451818,"0",156000,"Adzuna::API::Response::Job",120000,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRkVVTWE4QTc2eEdFU1RJTmJYRkE3ZyIsImkiOiIxODQ2Mzk0OTA3In0.8CNeDuqcHP20evUjU-eOFI0JdCs-DlwNF5m8LoQUMSo","Templeton & Partners is current working with a large commercial client to look for an Azure Data Engineer. Initial contract is 12 months based in London. Please note this is inside IR35 contract. The Task: The Data Engineer will work alongside the Tech Lead to build and unit test Data pipelines, data scrapes, data models in data lakes, and data warehouse. Work in development sprint teams under the direction of the Tech Lead Be responsible for development and unit testing of user stories that ha¡­",NA,NA,"IT Jobs","it-jobs","Adzuna::API::Response::Category","Templeton & Partners","Adzuna::API::Response::Company","Adzuna::API::Response::Location","South East London, London","c(""UK"", ""London"", ""South East London"")"
